work_date,team_key,team_name,region,starting_backlog,incoming_items,completed_items,staffed_hours,sla_breaches,source_updated_at
2026-07-06,T01,Team Atlas,EMEA,320,148,152,112,5,2026-07-07 06:00:00
2026-07-06,T02,Team Borealis,EMEA,245,121,118,96,4,2026-07-07 06:00:00
2026-07-06,T03,Team Cedar,Global,410,174,169,128,7,2026-07-07 06:00:00
2026-07-07,T01,Team Atlas,EMEA,316,156,149,112,6,2026-07-08 06:00:00
2026-07-07,T02,Team Borealis,EMEA,248,119,124,96,3,2026-07-08 06:00:00
2026-07-07,T03,Team Cedar,Global,415,182,171,128,8,2026-07-08 06:00:00
2026-07-08,T01,Team Atlas,EMEA,323,161,150,104,8,2026-07-09 06:00:00
2026-07-08,T02,Team Borealis,EMEA,243,126,120,88,5,2026-07-09 06:00:00
2026-07-08,T03,Team Cedar,Global,426,190,176,120,9,2026-07-09 06:00:00
2026-07-09,T01,Team Atlas,EMEA,334,152,158,112,5,2026-07-10 06:00:00
2026-07-09,T02,Team Borealis,EMEA,249,123,127,96,4,2026-07-10 06:00:00
2026-07-09,T03,Team Cedar,Global,440,181,187,128,6,2026-07-10 06:00:00
2026-07-10,T01,Team Atlas,EMEA,328,145,157,112,4,2026-07-11 06:00:00
2026-07-10,T02,Team Borealis,EMEA,245,117,126,96,3,2026-07-11 06:00:00
2026-07-10,T03,Team Cedar,Global,434,168,184,128,6,2026-07-11 06:00:00
2026-07-13,T01,Team Atlas,EMEA,316,166,151,104,9,2026-07-14 06:00:00
2026-07-13,T02,Team Borealis,EMEA,236,132,121,88,6,2026-07-14 06:00:00
2026-07-13,T03,Team Cedar,Global,418,196,174,120,11,2026-07-14 06:00:00
2026-07-14,T01,Team Atlas,EMEA,331,172,154,104,10,2026-07-15 06:00:00
2026-07-14,T02,Team Borealis,EMEA,247,137,123,88,7,2026-07-15 06:00:00
2026-07-14,T03,Team Cedar,Global,440,230,178,120,12,2026-07-15 06:00:00
2026-07-15,T01,Team Atlas,EMEA,349,159,160,112,7,2026-07-16 06:00:00
2026-07-15,T02,Team Borealis,EMEA,261,128,129,96,5,2026-07-16 06:00:00
2026-07-15,T03,Team Cedar,Global,492,188,205,128,9,2026-07-16 06:00:00
2026-07-16,T01,Team Atlas,EMEA,348,153,164,112,5,2026-07-17 06:00:00
2026-07-16,T02,Team Borealis,EMEA,260,124,133,96,4,2026-07-17 06:00:00
2026-07-16,T03,Team Cedar,Global,475,179,202,128,7,2026-07-17 06:00:00
2026-07-17,T01,Team Atlas,EMEA,337,147,162,112,4,2026-07-18 06:00:00
2026-07-17,T02,Team Borealis,EMEA,251,116,130,96,3,2026-07-18 06:00:00
2026-07-17,T03,Team Cedar,Global,452,171,225,128,6,2026-07-18 06:00:00
